,Station,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Year,Line
50,Anhangabaú,32,33,26,25,29,31,32,35,37,39,42,38,33,2021,3_Red
51,República,72,76,58,56,67,70,73,79,84,89,96,90,76,2021,3_Red
52,Santa Cecília ,16,17,14,14,16,16,16,18,19,19,21,19,17,2021,3_Red
53,Marechal Deodoro ,18,19,16,15,17,17,18,20,21,22,23,21,19,2021,3_Red
54,Palmeiras-Barra Funda,95,101,82,78,87,90,94,100,108,115,123,118,99,2021,3_Red
55,Vila Prudente¹,31,31,27,26,29,28,35,38,41,42,45,41,35,2021,15_Silver
56,Oratório,3,3,3,3,3,3,4,4,4,4,5,4,4,2021,15_Silver
57,São Lucas,3,3,2,2,3,3,3,3,4,4,4,4,3,2021,15_Silver
58,Camilo Haddad,2,2,2,2,2,2,2,2,3,3,3,3,2,2021,15_Silver
59,Vila Tolstói,3,3,2,2,3,3,3,3,3,4,4,4,3,2021,15_Silver
60,Vila União,3,4,3,3,3,3,4,4,4,4,5,4,4,2021,15_Silver
61,Jardim Planalto,2,3,2,2,2,3,3,3,3,3,3,3,3,2021,15_Silver
62,Sapopemba,5,5,4,4,5,5,5,6,6,6,7,6,5,2021,15_Silver
63,Fazenda da Juta,2,2,2,2,2,2,2,3,3,3,3,3,2,2021,15_Silver
64,São Mateus,11,12,11,10,12,12,13,14,14,15,16,15,13,2021,15_Silver
65,Jardim Colonial,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,15_Silver
66,SÃ£o Paulo - Morumbi,26.0,27.0,22.0,22.0,25.0,26.0,27.0,30.0,31.0,33.52,35.99,32.8,28.1925,2021,4_Yellow
67,ButantÃ£,22.0,23.0,19.0,18.0,21.0,22.0,23.0,25.0,27.0,28.33,30.12,27.31,23.813333333333333,2021,4_Yellow
68,Pinheiros1,55.0,58.0,47.0,46.0,53.0,55.0,55.0,62.0,67.0,71.08,77.69,70.48,59.770833333333336,2021,4_Yellow
69,Faria Lima,16.0,17.0,13.0,12.0,15.0,16.0,16.0,18.0,19.0,20.61,22.36,19.25,17.018333333333334,2021,4_Yellow
70,Fradique Coutinho,9.0,9.0,7.0,7.0,8.0,9.0,9.0,10.0,11.0,11.44,12.39,10.92,9.479166666666666,2021,4_Yellow
71,Oscar Freire,14.0,15.0,12.0,12.0,14.0,14.0,15.0,16.0,16.0,17.1,18.19,16.28,14.964166666666666,2021,4_Yellow
72,Paulista2,53.0,57.0,45.0,42.0,48.0,50.0,53.0,59.0,63.0,66.49,72.33,64.31,56.09416666666667,2021,4_Yellow
73,HigienÃ³polis - Mackenzie,9.0,10.0,8.0,7.0,9.0,9.0,9.0,11.0,12.0,12.93,14.41,11.71,10.254166666666668,2021,4_Yellow
74,RepÃºblica3,63.0,66.0,52.0,50.0,57.0,61.0,64.0,69.0,73.0,77.11,83.66,77.03,66.06666666666666,2021,4_Yellow
75,Luz4,75.0,78.0,63.0,61.0,74.0,76.0,80.0,86.0,92.0,96.2,102.1,93.54,81.40333333333334,2021,4_Yellow
76,TOTAL,341.0,360.0,288.0,276.0,324.0,336.0,350.0,386.0,409.0,434.81,469.24,423.65,366.475,2021,4_Yellow
77,Jabaquara,53,58,63,66,66,64,64,66,67,69,69,64,64,2022,1_Blue
78,Conceição ,16,20,22,24,23,22,21,23,24,24,25,21,22,2022,1_Blue
79,São Judas ,10,11,13,14,13,13,13,13,14,15,14,13,13,2022,1_Blue
80,Saúde ,18,22,24,25,25,24,23,25,26,26,27,23,24,2022,1_Blue
81,Praça da Árvore ,10,12,14,14,14,14,13,15,14,15,15,13,14,2022,1_Blue
82,Santa Cruz,66,77,84,89,88,86,84,89,90,91,91,82,85,2022,1_Blue
83,Vila Mariana ,11,15,18,19,19,17,14,19,19,19,19,14,17,2022,1_Blue
84,Ana Rosa¹,46,57,65,68,68,66,62,70,71,71,72,60,65,2022,1_Blue
85,Paraíso¹,57,69,80,84,84,81,77,87,89,89,90,75,80,2022,1_Blue
86,Vergueiro ,16,21,23,24,24,22,21,25,25,25,25,21,23,2022,1_Blue
87,São Joaquim ,14,18,23,24,24,22,18,25,28,29,28,19,23,2022,1_Blue
88,Japão-Liberdade ,14,16,18,20,19,18,20,20,20,21,20,20,19,2022,1_Blue
89,Sé2,125,145,164,168,165,161,155,165,168,170,173,154,159,2022,1_Blue
90,São Bento,38,42,44,47,46,46,46,46,47,52,53,52,47,2022,1_Blue
91,Luz,86,100,108,114,115,111,111,117,119,127,126,113,112,2022,1_Blue
92,Tiradentes ,8,13,15,15,15,14,12,15,16,15,15,11,14,2022,1_Blue
93,Armênia ,15,17,19,21,21,20,19,20,21,20,21,17,19,2022,1_Blue
94,Portuguesa-Tietê ,35,36,40,43,42,41,44,42,44,44,43,44,42,2022,1_Blue
95,Carandiru ,7,9,10,10,10,10,9,10,11,10,11,9,10,2022,1_Blue
96,Santana ,35,38,45,47,47,43,44,47,48,48,49,43,45,2022,1_Blue
97,Jardim São Paulo-Ayrton Senna,7,8,10,10,10,10,9,10,11,11,11,9,10,2022,1_Blue
98,Parada Inglesa ,7,9,10,11,11,11,10,11,11,12,12,10,10,2022,1_Blue
99,Tucuruvi ,39,46,50,53,52,51,49,53,54,55,55,49,51,2022,1_Blue
100,Vila Prudente¹,48,57,62,67,66,65,64,68,71,69,70,61,64,2022,2_Green
101,Tamanduateí,47,54,60,64,64,63,59,65,66,68,69,60,62,2022,2_Green
102,Sacomã,26,31,35,36,36,35,34,37,38,38,38,33,35,2022,2_Green
103,Alto do Ipiranga ,11,14,16,17,17,16,15,17,17,17,18,14,16,2022,2_Green
104,Santos-Imigrantes ,9,10,11,12,12,12,11,12,12,13,13,11,12,2022,2_Green
105,Chácara Klabin ,48,57,64,66,67,66,64,70,72,72,71,52,64,2022,2_Green
106,Ana Rosa²,41,48,54,56,56,54,52,57,57,59,59,52,54,2022,2_Green
107,Paraíso²,42,49,56,58,84,56,53,59,60,61,61,53,58,2022,2_Green
108,Brigadeiro ,28,34,39,42,42,41,41,44,44,45,46,40,41,2022,2_Green
109,Trianon-Masp ,24,30,37,39,40,38,36,41,42,43,42,35,37,2022,2_Green
110,Consolação,55,67,83,86,87,82,79,89,92,93,95,78,82,2022,2_Green
111,Clínicas ,13,16,18,19,19,18,17,19,19,19,19,16,18,2022,2_Green
112,Santuário N.S. de Fátima-Sumaré ,5,7,8,8,9,8,8,9,9,9,9,8,8,2022,2_Green
113,Vila Madalena,11,15,17,18,18,17,16,18,18,19,19,16,17,2022,2_Green
114,Corinthians-Itaquera,56,66,80,75,73,72,69,73,73,74,75,68,71,2022,3_Red
115,Artur Alvim,39,47,51,52,53,51,49,53,54,54,55,49,51,2022,3_Red
116,Patriarca ,14,17,19,20,19,19,18,20,20,20,20,18,19,2022,3_Red
117,Guilhermina-Esperança ,14,17,18,19,19,19,18,19,20,20,20,18,18,2022,3_Red
118,Vila Matilde ,17,21,23,24,24,23,22,25,25,25,25,22,23,2022,3_Red
119,Penha ,19,23,25,26,26,26,24,26,27,27,27,23,25,2022,3_Red
120,Carrão ,29,36,46,47,47,42,36,46,47,48,47,35,42,2022,3_Red
121,Tatuapé,53,62,71,71,71,70,69,71,72,72,74,68,69,2022,3_Red
122,Belém ,26,30,33,34,34,34,32,35,35,36,36,31,33,2022,3_Red
123,Bresser-Moóca ,21,24,30,31,30,29,26,31,32,32,32,26,29,2022,3_Red
124,Brás,67,73,78,81,79,77,74,74,75,78,78,79,76,2022,3_Red
125,Pedro II ,13,15,16,16,16,15,15,16,16,16,16,14,15,2022,3_Red
126,Sé¹,136,159,178,186,186,179,174,187,190,195,195,171,178,2022,3_Red
127,Anhangabaú,34,40,43,46,46,44,44,46,47,50,50,43,44,2022,3_Red
128,República,79,91,104,108,109,107,105,111,114,115,117,105,105,2022,3_Red
129,Santa Cecília ,17,20,22,23,22,21,20,22,23,23,23,20,21,2022,3_Red
130,Marechal Deodoro ,19,23,25,26,25,25,23,26,26,26,26,22,24,2022,3_Red
131,Palmeiras-Barra Funda,105,120,134,139,131,130,129,135,140,141,144,130,132,2022,3_Red
132,Vila Prudente¹,38,45,49,51,51,50,49,51,53,52,54,43,49,2022,15_Silver
133,Oratório,4,5,5,5,5,5,5,6,6,5,6,5,5,2022,15_Silver
134,São Lucas,3,4,4,5,5,5,4,5,5,5,5,4,5,2022,15_Silver
135,Camilo Haddad,2,3,3,3,3,3,3,3,3,3,4,3,3,2022,15_Silver
136,Vila Tolstói,3,4,4,4,5,5,4,5,5,5,5,4,4,2022,15_Silver
137,Vila União,4,4,5,5,5,5,5,5,5,5,5,5,5,2022,15_Silver
138,Jardim Planalto,3,3,4,4,4,4,4,4,4,4,4,4,4,2022,15_Silver
139,Sapopemba,5,6,7,7,7,7,7,8,8,8,8,7,7,2022,15_Silver
140,Fazenda da Juta,3,3,4,4,4,4,4,4,4,4,4,4,4,2022,15_Silver
141,São Mateus,13,16,16,16,15,15,15,16,16,16,17,15,16,2022,15_Silver
142,Jardim Colonial, -   ,1,3,4,4,4,4,5,5,5,5,5,4,2022,15_Silver
143,SÃ£o Paulo - Morumbi,28.67,34.83,39.9,41.25,31.67,22.3,21.1,22.6,22.29,22.26,21.69,19.28,27.320000000000004,2022,4_Yellow
144,ButantÃ£,24.31,28.94,35.45,38.81,38.9,34.39,31.48,34.8,36.29,37.06,35.77,29.87,33.839166666666664,2022,4_Yellow
145,Pinheiros1,62.94,72.94,82.6,87.17,88.74,87.8,88.44,93.98,97.37,99.58,98.3,88.83,87.39083333333333,2022,4_Yellow
146,Faria Lima,18.26,22.5,25.4,27.56,28.84,30.33,30.3,32.48,32.59,32.94,32.24,29.14,28.54833333333333,2022,4_Yellow
147,Fradique Coutinho,9.88,11.98,13.27,14.06,14.54,15.21,15.28,16.09,16.34,16.61,16.61,14.85,14.56,2022,4_Yellow
148,Oscar Freire,14.79,17.68,18.9,19.59,20.12,20.73,20.68,21.81,21.51,22.12,22.13,20.4,20.03833333333333,2022,4_Yellow
149,Paulista2,57.8,69.89,84.41,89.55,92.59,87.61,83.57,95.27,99.42,100.28,96.55,83.74,86.72333333333331,2022,4_Yellow
150,HigienÃ³polis - Mackenzie,10.6,13.87,19.03,22.21,23.68,18.5,15.28,25.05,25.73,24.11,23.68,15.96,19.808333333333334,2022,4_Yellow
151,RepÃºblica3,68.47,79.68,93.18,95.65,96.73,94.34,93.31,98.97,102.74,104.29,102.12,92.74,93.51833333333332,2022,4_Yellow
152,Luz4,86.07,98.16,106.27,114.17,117.02,113.85,115.08,121.01,126.39,127.55,125.18,114.43,113.76500000000004,2022,4_Yellow
153,TOTAL,381.81,450.46,518.39,550.01,569.18,559.54,548.41,599.54,619.43,626.43,613.22,544.99,548.4508333333334,2022,4_Yellow
154,Jabaquara, 63 , 66 , 70 , 72 ,,,,,,,,, 68 ,2023,1_Blue
155,Conceição , 20 , 24 , 26 , 26 ,,,,,,,,, 24 ,2023,1_Blue
156,São Judas , 12 , 14 , 15 , 15 ,,,,,,,,, 14 ,2023,1_Blue
157,Saúde , 21 , 26 , 27 , 27 ,,,,,,,,, 25 ,2023,1_Blue
158,Praça da Árvore , 12 , 15 , 15 , 15 ,,,,,,,,, 14 ,2023,1_Blue
159,Santa Cruz, 76 , 88 , 91 , 91 ,,,,,,,,, 87 ,2023,1_Blue
160,Vila Mariana , 13 , 19 , 21 , 21 ,,,,,,,,, 19 ,2023,1_Blue
161,Ana Rosa¹, 59 , 70 , 75 , 75 ,,,,,,,,, 70 ,2023,1_Blue
162,Paraíso¹, 73 , 87 , 94 , 94 ,,,,,,,,, 87 ,2023,1_Blue
163,Vergueiro , 21 , 25 , 26 , 26 ,,,,,,,,, 25 ,2023,1_Blue
164,São Joaquim , 17 , 24 , 33 , 34 ,,,,,,,,, 27 ,2023,1_Blue
165,Japão-Liberdade , 19 , 20 , 22 , 22 ,,,,,,,,, 21 ,2023,1_Blue
166,Sé2, 144 , 164 , 172 , 171 ,,,,,,,,, 163 ,2023,1_Blue
167,São Bento, 48 , 51 , 51 , 51 ,,,,,,,,, 50 ,2023,1_Blue
168,Luz, 108 , 122 , 127 , 130 ,,,,,,,,, 122 ,2023,1_Blue
169,Tiradentes , 10 , 15 , 16 , 16 ,,,,,,,,, 14 ,2023,1_Blue
170,Armênia , 17 , 20 , 21 , 21 ,,,,,,,,, 20 ,2023,1_Blue
171,Portuguesa-Tietê , 43 , 43 , 44 , 45 ,,,,,,,,, 44 ,2023,1_Blue
172,Carandiru , 8 , 10 , 11 , 11 ,,,,,,,,, 10 ,2023,1_Blue
173,Santana , 41 , 47 , 50 , 50 ,,,,,,,,, 47 ,2023,1_Blue
174,Jardim São Paulo-Ayrton Senna, 8 , 11 , 11 , 11 ,,,,,,,,, 10 ,2023,1_Blue
175,Parada Inglesa , 9 , 11 , 12 , 12 ,,,,,,,,, 11 ,2023,1_Blue
176,Tucuruvi , 47 , 54 , 56 , 56 ,,,,,,,,, 53 ,2023,1_Blue
177,Vila Prudente¹, 61 , 71 , 74 , 76 ,,,,,,,,, 71 ,2023,2_Green
178,Tamanduateí, 60 , 68 , 71 , 72 ,,,,,,,,, 68 ,2023,2_Green
179,Sacomã, 33 , 38 , 40 , 40 ,,,,,,,,, 38 ,2023,2_Green
180,Alto do Ipiranga , 14 , 17 , 18 , 18 ,,,,,,,,, 17 ,2023,2_Green
181,Santos-Imigrantes , 11 , 13 , 14 , 14 ,,,,,,,,, 13 ,2023,2_Green
182,Chácara Klabin , 51 , 61 , 64 , 63 ,,,,,,,,, 60 ,2023,2_Green
183,Ana Rosa², 49 , 57 , 60 , 61 ,,,,,,,,, 57 ,2023,2_Green
184,Paraíso², 51 , 59 , 63 , 63 ,,,,,,,,, 59 ,2023,2_Green
185,Brigadeiro , 40 , 45 , 48 , 48 ,,,,,,,,, 45 ,2023,2_Green
186,Trianon-Masp , 35 , 41 , 46 , 46 ,,,,,,,,, 42 ,2023,2_Green
187,Consolação, 76 , 90 , 99 , 99 ,,,,,,,,, 91 ,2023,2_Green
188,Clínicas , 17 , 20 , 21 , 21 ,,,,,,,,, 20 ,2023,2_Green
189,Santuário N.S. de Fátima-Sumaré , 7 , 9 , 10 , 10 ,,,,,,,,, 9 ,2023,2_Green
190,Vila Madalena, 15 , 19 , 20 , 20 ,,,,,,,,, 19 ,2023,2_Green
191,Corinthians-Itaquera, 64 , 72 , 73 , 74 ,,,,,,,,, 71 ,2023,3_Red
192,Artur Alvim, 46 , 53 , 55 , 55 ,,,,,,,,, 52 ,2023,3_Red
193,Patriarca , 17 , 20 , 21 , 21 ,,,,,,,,, 20 ,2023,3_Red
194,Guilhermina-Esperança , 17 , 20 , 21 , 21 ,,,,,,,,, 20 ,2023,3_Red
195,Vila Matilde , 21 , 25 , 26 , 26 ,,,,,,,,, 25 ,2023,3_Red
196,Penha , 22 , 26 , 28 , 28 ,,,,,,,,, 26 ,2023,3_Red
197,Carrão , 34 , 44 , 51 , 50 ,,,,,,,,, 45 ,2023,3_Red
198,Tatuapé, 64 , 71 , 75 , 76 ,,,,,,,,, 72 ,2023,3_Red
199,Belém , 31 , 36 , 38 , 37 ,,,,,,,,, 36 ,2023,3_Red
200,Bresser-Moóca , 24 , 29 , 33 , 32 ,,,,,,,,, 30 ,2023,3_Red
201,Brás, 66 , 72 , 74 , 76 ,,,,,,,,, 72 ,2023,3_Red
202,Pedro II , 14 , 15 , 16 , 15 ,,,,,,,,, 15 ,2023,3_Red
203,Sé¹, 164 , 189 , 199 , 200 ,,,,,,,,, 188 ,2023,3_Red
204,Anhangabaú, 42 , 48 , 50 , 51 ,,,,,,,,, 48 ,2023,3_Red
205,República, 101 , 111 , 118 , 119 ,,,,,,,,, 112 ,2023,3_Red
206,Santa Cecília , 19 , 22 , 23 , 23 ,,,,,,,,, 22 ,2023,3_Red
207,Marechal Deodoro , 22 , 25 , 27 , 26 ,,,,,,,,, 25 ,2023,3_Red
208,Palmeiras-Barra Funda, 119 , 134 , 138 , 134 ,,,,,,,,, 131 ,2023,3_Red
209,Vila Prudente¹, 46 , 55 , 57 , 60 ,,,,,,,,, 55 ,2023,15_Silver
210,Oratório, 5 , 6 , 6 , 6 ,,,,,,,,, 6 ,2023,15_Silver
211,São Lucas, 4 , 5 , 5 , 5 ,,,,,,,,, 5 ,2023,15_Silver
212,Camilo Haddad, 3 , 3 , 4 , 4 ,,,,,,,,, 4 ,2023,15_Silver
213,Vila Tolstói, 4 , 5 , 5 , 5 ,,,,,,,,, 5 ,2023,15_Silver
214,Vila União, 4 , 5 , 5 , 5 ,,,,,,,,, 5 ,2023,15_Silver
215,Jardim Planalto, 4 , 4 , 4 , 4 ,,,,,,,,, 4 ,2023,15_Silver
216,Sapopemba, 7 , 8 , 8 , 8 ,,,,,,,,, 8 ,2023,15_Silver
217,Fazenda da Juta, 3 , 4 , 4 , 4 ,,,,,,,,, 4 ,2023,15_Silver
218,São Mateus, 14 , 16 , 16 , 16 ,,,,,,,,, 16 ,2023,15_Silver
219,Jardim Colonial, 5 , 5 , 6 , 6 ,,,,,,,,, 6 ,2023,15_Silver
220,Vila SÃ´nia,34.54,38.15,42.21,43.98,,,,,,,,,39.72,2023,4_Yellow
221,SÃ£o Paulo - Morumbi,18.26,20.17,24.15,23.37,,,,,,,,,21.4875,2023,4_Yellow
222,ButantÃ£,27.17,29.85,36.43,38.63,,,,,,,,,33.02,2023,4_Yellow
223,Pinheiros1,87.15,91.47,103.42,104.83,,,,,,,,,96.7175,2023,4_Yellow
224,Faria Lima,28.65,30.31,33.71,34.54,,,,,,,,,31.802499999999995,2023,4_Yellow
225,Fradique Coutinho,14.56,16.09,17.08,17.18,,,,,,,,,16.2275,2023,4_Yellow
226,Oscar Freire,19.87,20.93,23.5,24.02,,,,,,,,,22.08,2023,4_Yellow
227,Paulista2,82.55,92.87,101.89,105.55,,,,,,,,,95.715,2023,4_Yellow
228,HigienÃ³polis - Mackenzie,14.58,23.5,27.51,27.48,,,,,,,,,23.2675,2023,4_Yellow
229,RepÃºblica3,90.08,96.67,102.68,106.2,,,,,,,,,98.9075,2023,4_Yellow
230,Luz4,113.58,120.29,136.49,135.69,,,,,,,,,126.5125,2023,4_Yellow
