INFORMAÇÕES SOBRE A DEMANDA - Janeiro/2018;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
DEMANDA DE PASSAGEIROS POR ESTAÇÃO¹  -  MÉDIA DOS DIAS ÚTEIS (em milhares);;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Linha 1 - Azul  ;;Linha 2 - Verde  ;;Linha 3 - Vermelha  ;;Linha 5 - Lilás;;Linha 15 - Prata;;;;;;;;;;;;;;;;
Estação ;Entradas ;Estação ;Entradas;Estação ;Entradas;Estação ;Entradas;Estação ;Entradas;;;;;;;;;;;;;;;
Jabaquara;80;Vila Prudente5;43;Corinthians-Itaquera;86;Capão Redondo ;60;Vila Prudente6;10;;;;;;;;;;;;;;;
Conceição ;34;Tamanduateí;56;Artur Alvim;58;Campo Limpo ;27;Oratório;8;;;;;;;;;;;;;;;
São Judas ;17;Sacomã;34;Patriarca ;21;Vila das Belezas ;8;- ;-;;;;;;;;;;;;;;;
Saúde ;30;Alto do Ipiranga ;16;Guilhermina-Esperança ;22;Giovanni Gronchi ;16;- ;-;;;;;;;;;;;;;;;
Praça da Árvore ;18;Santos-Imigrantes ;13;Vila Matilde ;26;Santo Amaro;72;- ;-;;;;;;;;;;;;;;;
Santa Cruz;51;Chácara Klabin ;6;Penha ;31;Largo Treze ;23;- ;-;;;;;;;;;;;;;;;
Vila Mariana ;21;Ana Rosa²;67;Carrão ;42;Adolfo Pinheiro;6;- ;-;;;;;;;;;;;;;;;
Ana Rosa¹;72;Paraíso²;62;Tatuapé;78;Alto da Boa Vista8;3;- ;-;;;;;;;;;;;;;;;
Paraíso¹;94;Brigadeiro ;51;Belém ;39;Borba Gato8;4;- ;-;;;;;;;;;;;;;;;
Vergueiro ;26;Trianon-Masp ;47;Bresser-Moóca ;30;Brooklin8;8;- ;-;;;;;;;;;;;;;;;
São Joaquim ;23;Consolação;119;Brás;87;- ;-;- ;-;;;;;;;;;;;;;;;
Liberdade ;24;Clínicas ;25;Pedro II ;23;- ;-;- ;-;;;;;;;;;;;;;;;
Sé³;211;Santuário N.S. de Fátima-Sumaré ;11;Sé4;225;- ;-;- ;-;;;;;;;;;;;;;;;
