;;;;;;;;;;;;;
INFORMAÇÕES SOBRE A DEMANDA - 2023;;;;;;;;;;;;;
Demanda de Passageiros por Estação - Média Dias Úteis (em milhares);;;;;;;;;;;;;
;;;;;;;;;;;;;
LINHA 1-AZUL;;;;;;;;;;;;;
Estação;Jan*;Fev*;Mar*;Abr*;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Média
Jabaquara; 63 ; 66 ; 70 ; 72 ;;;;;;;;; 68 
Conceição ; 20 ; 24 ; 26 ; 26 ;;;;;;;;; 24 
São Judas ; 12 ; 14 ; 15 ; 15 ;;;;;;;;; 14 
Saúde ; 21 ; 26 ; 27 ; 27 ;;;;;;;;; 25 
Praça da Árvore ; 12 ; 15 ; 15 ; 15 ;;;;;;;;; 14 
Santa Cruz; 76 ; 88 ; 91 ; 91 ;;;;;;;;; 87 
Vila Mariana ; 13 ; 19 ; 21 ; 21 ;;;;;;;;; 19 
Ana Rosa¹; 59 ; 70 ; 75 ; 75 ;;;;;;;;; 70 
Paraíso¹; 73 ; 87 ; 94 ; 94 ;;;;;;;;; 87 
Vergueiro ; 21 ; 25 ; 26 ; 26 ;;;;;;;;; 25 
São Joaquim ; 17 ; 24 ; 33 ; 34 ;;;;;;;;; 27 
Japão-Liberdade ; 19 ; 20 ; 22 ; 22 ;;;;;;;;; 21 
Sé2; 144 ; 164 ; 172 ; 171 ;;;;;;;;; 163 
São Bento; 48 ; 51 ; 51 ; 51 ;;;;;;;;; 50 
Luz; 108 ; 122 ; 127 ; 130 ;;;;;;;;; 122 
Tiradentes ; 10 ; 15 ; 16 ; 16 ;;;;;;;;; 14 
Armênia ; 17 ; 20 ; 21 ; 21 ;;;;;;;;; 20 
Portuguesa-Tietê ; 43 ; 43 ; 44 ; 45 ;;;;;;;;; 44 
Carandiru ; 8 ; 10 ; 11 ; 11 ;;;;;;;;; 10 
Santana ; 41 ; 47 ; 50 ; 50 ;;;;;;;;; 47 
Jardim São Paulo-Ayrton Senna; 8 ; 11 ; 11 ; 11 ;;;;;;;;; 10 
Parada Inglesa ; 9 ; 11 ; 12 ; 12 ;;;;;;;;; 11 
Tucuruvi ; 47 ; 54 ; 56 ; 56 ;;;;;;;;; 53 
Total; 891 ; 1.025 ; 1.087 ; 1.091 ;;;;;;;;; 1.024 
¹ Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 2-Verde;;;;;;;;;;;;;
² Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 3-Vermelha;;;;;;;;;;;;;
* Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020;;;;;;;;;;;;;
;;;;;;;;;;;;;
LINHA 2-VERDE;;;;;;;;;;;;;
Estação;Jan*;Fev*;Mar*;Abr*;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Média
Vila Prudente¹; 61 ; 71 ; 74 ; 76 ;;;;;;;;; 71 
Tamanduateí; 60 ; 68 ; 71 ; 72 ;;;;;;;;; 68 
Sacomã; 33 ; 38 ; 40 ; 40 ;;;;;;;;; 38 
Alto do Ipiranga ; 14 ; 17 ; 18 ; 18 ;;;;;;;;; 17 
Santos-Imigrantes ; 11 ; 13 ; 14 ; 14 ;;;;;;;;; 13 
Chácara Klabin ; 51 ; 61 ; 64 ; 63 ;;;;;;;;; 60 
Ana Rosa²; 49 ; 57 ; 60 ; 61 ;;;;;;;;; 57 
Paraíso²; 51 ; 59 ; 63 ; 63 ;;;;;;;;; 59 
Brigadeiro ; 40 ; 45 ; 48 ; 48 ;;;;;;;;; 45 
Trianon-Masp ; 35 ; 41 ; 46 ; 46 ;;;;;;;;; 42 
Consolação; 76 ; 90 ; 99 ; 99 ;;;;;;;;; 91 
Clínicas ; 17 ; 20 ; 21 ; 21 ;;;;;;;;; 20 
Santuário N.S. de Fátima-Sumaré ; 7 ; 9 ; 10 ; 10 ;;;;;;;;; 9 
Vila Madalena; 15 ; 19 ; 20 ; 20 ;;;;;;;;; 19 
Total; 519 ; 609 ; 649 ; 649 ;;;;;;;;; 607 
¹ Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 15-Prata;;;;;;;;;;;;;
² Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 1-Azul;;;;;;;;;;;;;
* Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020;;;;;;;;;;;;;
;;;;;;;;;;;;;
LINHA 3-VERMELHA;;;;;;;;;;;;;
Estação;Jan*;Fev*;Mar*;Abr*;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Média
Corinthians-Itaquera; 64 ; 72 ; 73 ; 74 ;;;;;;;;; 71 
Artur Alvim; 46 ; 53 ; 55 ; 55 ;;;;;;;;; 52 
Patriarca ; 17 ; 20 ; 21 ; 21 ;;;;;;;;; 20 
Guilhermina-Esperança ; 17 ; 20 ; 21 ; 21 ;;;;;;;;; 20 
Vila Matilde ; 21 ; 25 ; 26 ; 26 ;;;;;;;;; 25 
Penha ; 22 ; 26 ; 28 ; 28 ;;;;;;;;; 26 
Carrão ; 34 ; 44 ; 51 ; 50 ;;;;;;;;; 45 
Tatuapé; 64 ; 71 ; 75 ; 76 ;;;;;;;;; 72 
Belém ; 31 ; 36 ; 38 ; 37 ;;;;;;;;; 36 
Bresser-Moóca ; 24 ; 29 ; 33 ; 32 ;;;;;;;;; 30 
Brás; 66 ; 72 ; 74 ; 76 ;;;;;;;;; 72 
Pedro II ; 14 ; 15 ; 16 ; 15 ;;;;;;;;; 15 
Sé¹; 164 ; 189 ; 199 ; 200 ;;;;;;;;; 188 
Anhangabaú; 42 ; 48 ; 50 ; 51 ;;;;;;;;; 48 
República; 101 ; 111 ; 118 ; 119 ;;;;;;;;; 112 
Santa Cecília ; 19 ; 22 ; 23 ; 23 ;;;;;;;;; 22 
Marechal Deodoro ; 22 ; 25 ; 27 ; 26 ;;;;;;;;; 25 
Palmeiras-Barra Funda; 119 ; 134 ; 138 ; 134 ;;;;;;;;; 131 
Total; 887 ; 1.012 ; 1.067 ; 1.066 ;;;;;;;;; 1.008 
¹ Corresponde à soma dos usuários que embarcaram na Linha 3-Vermelha com as transferências da Linha 1-Azul;;;;;;;;;;;;;
* Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020;;;;;;;;;;;;;
;;;;;;;;;;;;;
LINHA 15-PRATA;;;;;;;;;;;;;
Estação;Jan*;Fev*;Mar*;Abr*;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Média
Vila Prudente¹; 46 ; 55 ; 57 ; 60 ;;;;;;;;; 55 
Oratório; 5 ; 6 ; 6 ; 6 ;;;;;;;;; 6 
São Lucas; 4 ; 5 ; 5 ; 5 ;;;;;;;;; 5 
Camilo Haddad; 3 ; 3 ; 4 ; 4 ;;;;;;;;; 4 
Vila Tolstói; 4 ; 5 ; 5 ; 5 ;;;;;;;;; 5 
Vila União; 4 ; 5 ; 5 ; 5 ;;;;;;;;; 5 
Jardim Planalto; 4 ; 4 ; 4 ; 4 ;;;;;;;;; 4 
Sapopemba; 7 ; 8 ; 8 ; 8 ;;;;;;;;; 8 
Fazenda da Juta; 3 ; 4 ; 4 ; 4 ;;;;;;;;; 4 
