METRÔ DE SÃO PAULO;;;;;;;;;;;;;
INFORMAÇÕES SOBRE A DEMANDA - 2022;;;;;;;;;;;;;
Demanda de Passageiros por Estação - Média Dias Úteis (em milhares);;;;;;;;;;;;;
;;;;;;;;;;;;;
LINHA 1-AZUL;;;;;;;;;;;;;
Estação;Jan*;Fev*;Mar*;Abr*;Mai*;Jun*;Jul*;Ago*;Set*;Out*;Nov*;Dez*;Média
Jabaquara;53;58;63;66;66;64;64;66;67;69;69;64;64
Conceição ;16;20;22;24;23;22;21;23;24;24;25;21;22
São Judas ;10;11;13;14;13;13;13;13;14;15;14;13;13
Saúde ;18;22;24;25;25;24;23;25;26;26;27;23;24
Praça da Árvore ;10;12;14;14;14;14;13;15;14;15;15;13;14
Santa Cruz;66;77;84;89;88;86;84;89;90;91;91;82;85
Vila Mariana ;11;15;18;19;19;17;14;19;19;19;19;14;17
Ana Rosa¹;46;57;65;68;68;66;62;70;71;71;72;60;65
Paraíso¹;57;69;80;84;84;81;77;87;89;89;90;75;80
Vergueiro ;16;21;23;24;24;22;21;25;25;25;25;21;23
São Joaquim ;14;18;23;24;24;22;18;25;28;29;28;19;23
Japão-Liberdade ;14;16;18;20;19;18;20;20;20;21;20;20;19
Sé2;125;145;164;168;165;161;155;165;168;170;173;154;159
São Bento;38;42;44;47;46;46;46;46;47;52;53;52;47
Luz;86;100;108;114;115;111;111;117;119;127;126;113;112
Tiradentes ;8;13;15;15;15;14;12;15;16;15;15;11;14
Armênia ;15;17;19;21;21;20;19;20;21;20;21;17;19
Portuguesa-Tietê ;35;36;40;43;42;41;44;42;44;44;43;44;42
Carandiru ;7;9;10;10;10;10;9;10;11;10;11;9;10
Santana ;35;38;45;47;47;43;44;47;48;48;49;43;45
Jardim São Paulo-Ayrton Senna;7;8;10;10;10;10;9;10;11;11;11;9;10
Parada Inglesa ;7;9;10;11;11;11;10;11;11;12;12;10;10
Tucuruvi ;39;46;50;53;52;51;49;53;54;55;55;49;51
Total;733;860;963;1.008;1.003;967;938;1.015;1.035;1.059;1.062;934;964
