;;;;;;;;;;;;;;;;;;;;;;
INFORMAÇÕES SOBRE A DEMANDA - 2021;;;;;;;;;;;;;;;;;;;;;;
Demanda de Passageiros por Estação - Média Dias Úteis (em milhares);;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
LINHA 1-AZUL;;;;;;;;;;;;;;;;;;;;;;
Estação;Jan*;Fev*;Mar*;Abr*;Mai*;Jun*;Jul*;Ago*;Set*;Out*;Nov*;Dez*;Média;;;;;;;;;
Jabaquara;46;48;40;39;45;46;48;51;55;57;61;59;50;;;;;;;;;
Conceição ;15;16;12;12;14;15;15;16;18;19;20;19;16;;;;;;;;;
São Judas ;9;9;7;7;8;9;9;10;10;11;12;11;9;;;;;;;;;
Saúde ;16;17;13;13;15;16;16;18;19;20;21;20;17;;;;;;;;;
Praça da Árvore ;9;10;8;8;9;9;10;11;11;12;13;12;10;;;;;;;;;
Santa Cruz;60;65;52;50;58;61;63;68;72;76;81;77;65;;;;;;;;;
Vila Mariana ;10;10;8;8;9;10;10;11;13;13;14;12;11;;;;;;;;;
Ana Rosa¹;40;43;35;33;39;41;42;47;51;53;57;53;45;;;;;;;;;
Paraíso¹;49;53;43;42;48;50;52;58;62;65;69;65;55;;;;;;;;;
Vergueiro ;15;17;14;13;15;16;15;17;18;19;20;18;16;;;;;;;;;
São Joaquim ;12;14;12;11;13;14;13;15;17;18;18;15;14;;;;;;;;;
Japão-Liberdade ;12;12;9;9;11;12;12;13;14;15;16;16;13;;;;;;;;;
Sé2;119;125;100;96;111;116;119;127;136;142;151;144;124;;;;;;;;;
São Bento;36;36;23;23;31;33;36;36;39;43;46;48;36;;;;;;;;;
Luz;70;74;57;58;68;69;69;74;89;96;106;99;77;;;;;;;;;
Tiradentes ;7;9;7;7;8;8;8;9;10;10;11;10;9;;;;;;;;;
Armênia ;14;15;12;12;14;14;15;15;16;17;18;16;15;;;;;;;;;
Portuguesa-Tietê ;31;29;23;22;26;27;29;31;34;36;41;41;31;;;;;;;;;
Carandiru ;6;6;5;5;6;6;6;7;7;8;9;8;7;;;;;;;;;
Santana ;33;35;28;27;32;32;33;36;39;40;43;40;35;;;;;;;;;
Jardim São Paulo-Ayrton Senna;6;6;5;4;5;6;6;7;7;8;9;8;6;;;;;;;;;
Parada Inglesa ;7;7;6;5;6;7;7;8;8;9;9;9;7;;;;;;;;;
Tucuruvi ;36;37;30;29;34;35;36;40;42;44;47;45;38;;;;;;;;;
Total;656;692;548;532;625;649;667;725;787;831;894;847;704;;;;;;;;;
¹ Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 2-Verde;;;;;;;;;;;;;;;;;;;;;;
² Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 3-Vermelha;;;;;;;;;;;;;;;;;;;;;;
* Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
LINHA 2-VERDE;;;;;;;;;;;;;;;;;;;;;;
Estação;Jan*;Fev*;Mar*;Abr*;Mai*;Jun*;Jul*;Ago*;Set*;Out*;Nov*;Dez*;Média;;;;;;;;;
Vila Prudente¹;40;43;36;35;40;40;44;49;53;54;58;54;46;;;;;;;;;
Tamanduateí;36;36;35;36;40;43;43;47;50;53;50;53;44;;;;;;;;;
Sacomã;23;25;21;20;23;24;25;27;29;30;32;30;26;;;;;;;;;
Alto do Ipiranga ;9;10;8;8;9;9;10;11;12;13;14;13;11;;;;;;;;;
Santos-Imigrantes ;8;8;7;7;8;8;8;9;10;10;11;10;9;;;;;;;;;
Chácara Klabin ;40;43;37;35;40;43;43;48;51;54;58;54;46;;;;;;;;;
Ana Rosa²;36;39;30;29;35;36;37;40;44;46;50;47;39;;;;;;;;;
Paraíso²;38;40;32;31;36;37;38;41;45;47;51;48;40;;;;;;;;;
Brigadeiro ;25;26;20;19;23;24;25;28;30;32;35;33;27;;;;;;;;;
Trianon-Masp ;21;22;17;16;19;20;21;24;26;28;30;29;23;;;;;;;;;
Consolação;49;53;40;38;44;47;50;55;60;64;70;65;53;;;;;;;;;
Clínicas ;13;14;12;12;13;13;13;14;15;15;16;15;14;;;;;;;;;
Santuário N.S. de Fátima-Sumaré ;5;5;4;4;4;5;5;5;6;6;7;6;5;;;;;;;;;
Vila Madalena;10;11;9;8;9;10;10;12;13;13;15;13;11;;;;;;;;;
Total;353;376;308;297;344;360;371;411;442;466;497;469;391;;;;;;;;;
¹ Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 15-Prata;;;;;;;;;;;;;;;;;;;;;;
² Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 1-Azul;;;;;;;;;;;;;;;;;;;;;;
* Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03/2020;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
LINHA 3-VERMELHA;;;;;;;;;;;;;;;;;;;;;;
Estação;Jan*;Fev*;Mar*;Abr*;Mai*;Jun*;Jul*;Ago*;Set*;Out*;Nov*;Dez*;Média;;;;;;;;;
Corinthians-Itaquera;54;56;46;45;52;53;53;58;60;62;66;66;56;;;;;;;;;
Artur Alvim;37;39;32;32;36;37;38;41;43;45;48;45;39;;;;;;;;;
Patriarca ;13;14;11;11;13;13;14;15;16;16;18;17;14;;;;;;;;;
Guilhermina-Esperança ;13;13;11;11;12;13;13;14;15;16;17;16;14;;;;;;;;;
Vila Matilde ;16;17;14;13;15;16;16;18;19;20;21;20;17;;;;;;;;;
Penha ;18;19;15;15;17;18;18;20;22;22;24;22;19;;;;;;;;;
Carrão ;26;28;23;22;25;26;27;30;32;33;36;32;28;;;;;;;;;
Tatuapé;50;52;41;40;47;49;51;53;57;61;64;65;53;;;;;;;;;
Belém ;25;27;23;22;24;25;25;27;28;29;31;29;26;;;;;;;;;
Bresser-Moóca ;19;21;17;16;19;19;20;21;23;24;26;23;21;;;;;;;;;
Brás;66;70;57;55;64;65;67;69;73;75;79;81;68;;;;;;;;;
Pedro II ;13;14;12;11;12;13;13;14;14;15;16;14;13;;;;;;;;;
Sé¹;123;129;101;98;116;121;124;135;146;155;166;157;131;;;;;;;;;
Anhangabaú;32;33;26;25;29;31;32;35;37;39;42;38;33;;;;;;;;;
República;72;76;58;56;67;70;73;79;84;89;96;90;76;;;;;;;;;
Santa Cecília ;16;17;14;14;16;16;16;18;19;19;21;19;17;;;;;;;;;
Marechal Deodoro ;18;19;16;15;17;17;18;20;21;22;23;21;19;;;;;;;;;
