INFORMAÇÕES SOBRE A DEMANDA - Fevereiro/2018;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
DEMANDA DE PASSAGEIROS POR ESTAÇÃO¹  -  MÉDIA DOS DIAS ÚTEIS (em milhares);;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Linha 1 - Azul  ;;Linha 2 - Verde  ;;Linha 3 - Vermelha  ;;Linha 5 - Lilás;;Linha 15 - Prata;;;;;;;;;;;;;;;;
Estação ;Entradas ;Estação ;Entradas;Estação ;Entradas;Estação ;Entradas;Estação ;Entradas;;;;;;;;;;;;;;;
Jabaquara;87;Vila Prudente5;53;Corinthians-Itaquera;96;Capão Redondo ;70;Vila Prudente6;11;;;;;;;;;;;;;;;
Conceição ;40;Tamanduateí;66;Artur Alvim;67;Campo Limpo ;31;Oratório;9;;;;;;;;;;;;;;;
São Judas ;20;Sacomã;40;Patriarca ;25;Vila das Belezas ;10;- ;-;;;;;;;;;;;;;;;
Saúde ;36;Alto do Ipiranga ;20;Guilhermina-Esperança ;25;Giovanni Gronchi ;19;- ;-;;;;;;;;;;;;;;;
Praça da Árvore ;22;Santos-Imigrantes ;15;Vila Matilde ;30;Santo Amaro;84;- ;-;;;;;;;;;;;;;;;
Santa Cruz;61;Chácara Klabin ;7;Penha ;37;Largo Treze ;28;- ;-;;;;;;;;;;;;;;;
Vila Mariana ;30;Ana Rosa²;80;Carrão ;53;Adolfo Pinheiro;8;- ;-;;;;;;;;;;;;;;;
Ana Rosa¹;88;Paraíso²;73;Tatuapé;87;Alto da Boa Vista8;4;- ;-;;;;;;;;;;;;;;;
Paraíso¹;113;Brigadeiro ;59;Belém ;46;Borba Gato8;6;- ;-;;;;;;;;;;;;;;;
Vergueiro ;32;Trianon-Masp ;55;Bresser-Moóca ;41;Brooklin8;10;- ;-;;;;;;;;;;;;;;;
São Joaquim ;44;Consolação;143;Brás;96;- ;-;- ;-;;;;;;;;;;;;;;;
Liberdade ;29;Clínicas ;29;Pedro II ;26;- ;-;- ;-;;;;;;;;;;;;;;;
